hora,data,umidade_solo,umidade,temperatura
17:47:36,08/03/2022,1001.00,67.00,26.00
17:47:38,08/03/2022,1002.00,66.00,26.00
17:47:40,08/03/2022,1000.00,66.00,26.00
17:47:43,08/03/2022,1001.00,67.00,26.00
17:47:45,08/03/2022,1000.00,67.00,26.00
17:47:47,08/03/2022,1000.00,66.00,26.00
17:47:49,08/03/2022,1000.00,66.00,26.00
17:47:52,08/03/2022,1000.00,66.00,26.00
17:47:54,08/03/2022,1000.00,65.00,26.00
17:47:56,08/03/2022,1000.00,65.00,26.00
17:47:59,08/03/2022,1001.00,65.00,26.00
17:48:01,08/03/2022,1000.00,64.00,26.00
17:48:03,08/03/2022,1001.00,64.00,26.00
17:48:06,08/03/2022,1001.00,64.00,26.00
17:48:08,08/03/2022,1001.00,65.00,26.00
17:48:10,08/03/2022,1001.00,65.00,26.00
17:48:13,08/03/2022,1001.00,65.00,26.00
17:48:15,08/03/2022,1001.00,66.00,26.00
17:48:17,08/03/2022,1000.00,66.00,26.00
17:48:20,08/03/2022,1000.00,66.00,26.00
17:48:22,08/03/2022,1001.00,66.00,26.00
17:48:24,08/03/2022,1002.00,67.00,26.00
17:48:26,08/03/2022,1002.00,67.00,26.00
17:48:29,08/03/2022,1000.00,67.00,26.00
17:48:31,08/03/2022,1002.00,67.00,26.00
17:48:33,08/03/2022,1000.00,66.00,26.00
17:48:36,08/03/2022,1001.00,66.00,26.00
17:48:38,08/03/2022,1002.00,67.00,26.00
17:48:40,08/03/2022,1002.00,67.00,26.00
17:48:43,08/03/2022,1001.00,68.00,26.00
17:48:45,08/03/2022,1002.00,68.00,26.00
17:48:47,08/03/2022,1001.00,68.00,26.00
17:48:50,08/03/2022,1001.00,68.00,26.00
17:48:52,08/03/2022,1001.00,68.00,26.00
17:48:54,08/03/2022,1001.00,68.00,26.00
17:48:56,08/03/2022,1001.00,67.00,26.00
17:48:59,08/03/2022,1001.00,67.00,26.00
17:49:01,08/03/2022,1001.00,67.00,26.00
17:49:03,08/03/2022,1001.00,68.00,26.00
17:49:06,08/03/2022,1001.00,67.00,26.00
17:49:08,08/03/2022,1001.00,68.00,26.00
17:49:10,08/03/2022,1001.00,68.00,26.00
17:49:13,08/03/2022,1000.00,68.00,26.00
17:49:15,08/03/2022,1001.00,68.00,26.00
17:49:17,08/03/2022,1000.00,69.00,26.00
17:49:20,08/03/2022,1000.00,69.00,26.00
17:49:22,08/03/2022,1002.00,69.00,26.00
17:49:24,08/03/2022,1001.00,68.00,26.00
17:49:26,08/03/2022,1001.00,68.00,26.00
17:49:29,08/03/2022,1001.00,67.00,26.00
17:49:31,08/03/2022,1000.00,67.00,26.00
17:49:33,08/03/2022,1001.00,67.00,26.00
17:49:36,08/03/2022,1001.00,67.00,26.00
17:49:38,08/03/2022,1001.00,67.00,26.00
17:49:40,08/03/2022,1001.00,67.00,26.00
17:49:43,08/03/2022,1001.00,66.00,26.00
17:49:45,08/03/2022,1001.00,66.00,26.00
17:49:47,08/03/2022,1001.00,66.00,26.00
17:49:50,08/03/2022,1001.00,66.00,26.00
17:49:52,08/03/2022,1001.00,66.00,26.00
17:49:54,08/03/2022,1000.00,65.00,26.00
17:49:56,08/03/2022,1001.00,65.00,26.00
17:49:59,08/03/2022,1000.00,65.00,26.00
17:50:01,08/03/2022,1001.00,65.00,26.00
17:50:03,08/03/2022,1001.00,65.00,26.00
17:50:06,08/03/2022,1001.00,65.00,26.00
17:50:08,08/03/2022,1000.00,66.00,26.00
17:50:10,08/03/2022,1000.00,66.00,26.00
